order,seasonal,aic,bic,converged
"(0, 1, 2)","(1, 1, 2, 24)",133226.4749941077,133270.6187568173,True
"(0, 1, 2)","(0, 1, 2, 24)",133234.34203902644,133271.1285079511,True
"(0, 1, 1)","(2, 1, 2, 24)",133251.63758946132,133295.78187014908,True
"(0, 1, 1)","(1, 1, 2, 24)",133251.8418807742,133288.62878134733,True
"(0, 1, 2)","(2, 1, 1, 24)",133257.44943886172,133301.59475537165,True
"(0, 1, 1)","(0, 1, 2, 24)",133257.85366990158,133287.2831903601,True
"(0, 1, 1)","(2, 1, 1, 24)",133271.3274928194,133308.11525657767,True
"(0, 1, 2)","(1, 1, 1, 24)",133494.5823719471,133531.37919016395,True
"(0, 1, 1)","(1, 1, 1, 24)",133519.14954169505,133548.58734087332,True
"(0, 1, 2)","(0, 1, 1, 24)",133587.8863717522,133617.32382632565,True
"(0, 1, 1)","(0, 1, 1, 24)",133606.35208664445,133628.43043602814,True
"(0, 1, 2)","(2, 1, 0, 24)",135456.6676646064,135493.45542836466,True
"(0, 1, 1)","(2, 1, 0, 24)",135521.7942100445,135551.22442105113,True
"(0, 1, 2)","(1, 1, 0, 24)",136994.6393471035,137024.07783540228,True
"(0, 1, 1)","(1, 1, 0, 24)",137077.61765517644,137099.6965214005,True
"(0, 1, 2)","(0, 1, 0, 24)",139981.2610533252,140003.34534100423,True
"(0, 1, 1)","(0, 1, 0, 24)",140129.2423861728,140143.96541657235,True
